DATE,LOC,lat,long,NAME,DEATHS,INJURIES
3/12/2014,"Miami, FL",25.76168,-80.19179,The Academy of Knowledge pre school,1,0
3/25/2014,"College Park, GA",33.653443,-84.449372,Benjamin Banneker High School,0,0
3/30/2014,"University City, MO",38.668241,-90.332486,Pershing Elementary School,0,1
4/9/2014,"Greenville, NC",35.612661,-77.366354,D.H Conley High School,0,0
4/11/2014,"Detroit, MI",42.331427,-83.045754,East English Village Preparatory Academy,,
4/21/2014,"Griffith, IN",41.528369,-87.42365,St. Mary Catholic School,,
4/21/2014,"Provo, UT",40.233844,-111.658534,Provo High School,,
5/3/2014,"Everett, WA",47.978985,-122.202079,Horizon Elementary,,
5/14/2014,"Richmond, CA",37.935758,-122.347749,John F. Kennedy High School,0,1
5/21/2014,"Milwaukee, WI",43.038903,-87.906474,Clarke Street School Playground,,
6/10/2014,"Troutdale, OR",45.539286,-122.387313,Reynolds High School,2,1
6/23/2014,"Benton, MO",37.097828,-89.562585,Kelly High School,,
8/13/2014,"Frederick, MD",39.414269,-77.410541,Heather Ridge High School,,
8/14/2014,"Newport News, VA",37.087082,-76.473012,Saunders Elementary,,
9/11/2014,"Taylorsville, UT",40.667725,-111.938826,Westbrook Elementary School,,
9/24/2014,"San Antonio, TX",29.424122,-98.493628,Joel C. Harris Academy,,
9/30/2014,"Albemarle, NC",35.350143,-80.200058,Albemarle High School,0,1
9/30/2014,"Louisville, KY",38.252665,-85.758456,Fern Creek Traditional High School,0,1
10/3/2014,"Fairburn, GA",33.567056,-84.581042,Langston Hughes High school,1,0
10/21/2014,"Memphis, TN",35.149534,-90.04898,A. Maceo Walker Middle School,,
10/24/2014,"Marysville, WA",48.051764,-122.177082,Marysville Pilchuck High School,5,1
11/20/2014,"Miami, FL",25.76168,-80.19179,Miami Carol City High School,1,1
12/12/2014,"Portland, OR",45.523062,-122.676482,Rosemary Anderson High School,0,3
1/5/2015,"Milwaukee, WI",43.038903,-87.906474,Wisconsin Lutheran High School,0,3
1/16/2015,"Ocala, FL",29.187199,-82.140092,Vanguard High School,,
1/20/2015,"Mobile, AL",30.695366,-88.039891,Williamson High School,,
1/26/2015,"Roseville, MN",45.006077,-93.156611,Hand and Hand Montessori,,
2/4/2015,"Frederick, MD",39.414269,-77.410541,Frederick High School,0,2
2/14/2015,"Merced, CA",37.302163,-120.482968,Tenaya Middle School,1,0
2/15/2015,"Athens, GA",33.951935,-83.357567,University of Georgia,,
3/9/2015,"Coon Rapids, MN",45.173239,-93.303006,Northwest Passage High School,,
4/16/2015,"Paradis, Louisiana",29.879651,-90.433971,J.B Martin Middle School,0,1
4/17/2015,"Seguin, TX",29.568841,-97.964727,Seguin High School,,
4/22/2015,"Las Vegas, NV",36.169941,-115.13983,Ruthe Deskin Elementary School,,
4/27/2015,"Lacey, WA",47.034263,-122.823191,North Thurston High School,0,0
5/4/2015,"Cleveland, OH",41.49932,-81.694361,Willow Elementary School,,
5/12/2015,"Tempe, AZ",33.42551,-111.940005,Corona del Sol High School,,
5/20/2015,"Robinson, TX",31.467669,-97.114722,Robinson High School,,
5/24/2015,"Flint, MI",43.012527,-83.687456,Southwestern Classical Academy,0,7
5/27/2015,"Everglades City, FL",25.858244,-81.385069,Everglades City School,,
6/4/2015,"Franklin, NC",35.182317,-83.381543,South Macon Elementary School,,
6/23/2015,"Forth Calhoun, NE",41.455828,-96.026402,Fort Calhoun Elementary School,,
7/5/2015,"Dallas, TX",32.776664,-96.796988,Coppell Middle School East,,
7/24/2015,"Converse, TX",29.518008,-98.316124,Elolf Elementary School,,
8/8/2015,"Paradise, TX",33.150118,-97.687252,Paradise High School,,
8/23/2015,"Richmond, TX",29.582181,-95.760783,William Velasquez Elementary,,
8/25/2015,"Augusta, GA",33.473498,-82.010515,Hornsby Elementary School,,
9/11/2015,"Lafayette, LA",30.22409,-92.019843,Northside High School,,
9/22/2015,"Statesville, NC",35.782636,-80.887296,Central Elementary School,,
9/30/2015,"Harrisburg, SD",43.431366,-96.69727,Harrisburg High School,0,1
10/2/2015,"University City, MO",38.668241,-90.332486,University City High School,,
10/15/2015,"San Antonio, TX",29.424122,-98.493628,Wagner High School,,
10/24/2015,"San Antonio, TX",29.424122,-98.493628,Ed White Middle School,,
11/5/2015,"Moultrie, GA",31.179941,-83.788839,Vereen School,,
11/10/2015,"Lecanto, FL",28.851649,-82.487598,Lecanto High School,,
11/11/2015,"Sulphur Rock, AR",35.751188,-91.500691,Sulphur Rock Magnet School,,
11/20/2015,"North Las Vegas, NV",36.198859,-115.117501,Mojave High School,1,0
1/12/2016,"Dover, DE",39.158168,-75.524368,Central Middle School,,
1/13/2016,"Camden, AR",33.584558,-92.834329,Harmony Grove High School,,
1/20/2016,"Indianapolis, IN",39.768403,-86.158068,Northwest Community High School,,
1/22/2016,"Indianopolis, IN",39.768403,-86.158068,Lawrence Central High School ,0,1
1/29/2016,"Philadelphia, PA",39.952584,-75.165222,Franklin High School,0,0
2/9/2016,"Muskegeon Heights, MI",43.201126,-86.238946,Muskegeon Heights High School,0,4
2/12/2016,"Glendale, AZ",33.538652,-112.185987,Independence High School,,
2/17/2016,"Homosassa, FL",28.781372,-82.6151,Rock Crusher Elementary School,,
2/26/2016,"Palestine, TX",31.762115,-95.630789,Palestine High School,,
2/29/2016,"Middletown, OH",39.515058,-84.398276,Madison High School,,
